#T1
1511	1212	1335	1351	1316	1230	1583	1488	1520	1434	1512	1394	
1401	1292	1522	1551	1634	1404	1573	1540	1615	1495	1459	1395	
1546	1465	1633	1650	1681	1644	1728	1777	1767	1603	1482	1422	
1728	1623	1795	1732	1797	1961	1886	1924	1760	1661	1770	1435	
1549	1573	1741	1670	1849	1846	1731	1817	1819	1785	1482	1556	
1599	1559	1726	1762	1742	1931	1859	1809	1804	1707	1648	1404	
1601	1736	1906	1782	1915	1929	1748	1650	1891	1814	1755	1485	
1688	1782	1842	1800	1753	1827	1689	1686	1786	1890	1730	1600	
1588	1654	1634	1581	1578	1740	1600	1504	1697	1718	1528	1423	
2102	1687	1709	1694	1735	1763	1569	1556	1542	1437	1335	1355	
#T3
1205	1007	1236	1264	1523	1682	1561	1408	1346	1247	1129	1040	
1115	1253	1423	1540	1594	1621	1689	1468	1467	1341	1276	1059	
1195	1356	1573	1730	1714	1729	1707	1695	1602	1487	1228	1209	
1248	1495	1597	1743	1823	1774	1850	1785	1693	1445	1290	1514	
1283	1607	1728	1839	1840	1849	1848	1886	1687	1531	1196	1443	
1202	1489	1713	1855	1814	1593	1704	1679	1802	1391	1291	1462	
1121	1414	1671	1761	1885	1804	1591	1650	1721	1453	1172	1386	
1254	1526	1553	1671	1688	1553	1591	1592	1526	1373	1074	1208	
1138	1289	1457	1448	1525	1679	1382	1451	1585	1364	1195	1286	
1364	1137	1250	1244	1481	1347	1362	1341	1330	1248	1231	1387	
#T4
0	801	766	876	884	875	974	975	835	795	0	736	
973	817	729	865	839	824	827	853	814	778	664	789	
801	792	834	858	921	857	857	897	779	778	727	725	
939	818	903	892	850	883	888	866	830	830	757	689	
888	821	811	910	895	870	886	887	828	842	759	730	
925	817	802	913	927	895	913	846	807	779	807	746	
834	808	820	859	881	843	906	843	806	774	769	787	
831	808	823	890	854	859	924	855	814	767	720	739	
855	801	818	848	828	854	807	817	787	690	689	742	
1037	120	941	915	947	948	896	920	884	885	934	960	
