#T1
1529	1235	1380	1303	1410	1342	1640	1542	1614	1492	1534	1452	
1426	1300	1437	1493	1643	1471	1625	1508	1649	1512	1547	1463	
1503	1454	1616	1597	1781	1627	1645	1775	1727	1589	1422	1378	
1679	1573	1659	1765	1665	1892	1865	1897	1704	1716	1691	1507	
1625	1552	1687	1709	1758	1819	1745	1873	1720	1750	1537	1597	
1663	1627	1783	1777	1929	1963	1791	1790	1819	1745	1616	1351	
1659	1735	1832	1829	1822	1943	1760	1608	1853	1869	1701	1465	
1654	1799	1892	1794	1712	1859	1802	1645	1671	1909	1772	1554	
1662	1537	1635	1604	1582	1688	1567	1548	1632	1721	1545	1399	
2108	1657	1715	1706	1758	1817	1663	1619	1642	1479	1274	1413	
#T3
1326	1014	1246	1357	1628	1688	1591	1400	1361	1293	1196	1063	
1086	1211	1433	1544	1597	1643	1656	1480	1520	1408	1200	1066	
1187	1338	1606	1678	1703	1635	1779	1604	1710	1434	1222	1276	
1233	1424	1654	1787	1760	1814	1911	1855	1707	1480	1313	1444	
1330	1512	1741	1782	1869	1815	1916	1806	1640	1531	1202	1513	
1280	1542	1657	1752	1764	1690	1699	1671	1845	1410	1287	1442	
1074	1424	1704	1809	1820	1955	1554	1617	1696	1390	1187	1359	
1285	1479	1599	1716	1618	1645	1541	1567	1598	1339	1083	1215	
1121	1347	1586	1488	1550	1642	1479	1524	1669	1439	1194	1302	
1409	1176	1328	1334	1437	1388	1419	1380	1360	1238	1236	1445	
#T4
0	812	831	930	865	870	945	872	800	768	0	706	
921	840	744	875	854	819	864	820	797	759	658	776	
840	817	858	839	884	848	834	915	871	721	700	764	
923	831	900	940	864	900	884	894	813	811	709	738	
933	837	883	886	922	929	937	893	837	745	743	731	
911	779	900	914	917	905	890	890	839	791	785	708	
850	851	871	876	878	819	848	867	808	785	747	780	
825	791	790	860	884	894	836	852	788	771	719	680	
838	800	807	895	824	823	838	852	817	697	662	715	
1016	160	925	925	877	955	950	921	864	896	887	923	
